negotiated_rate_ID,ground_rate,air_rate,rush_rate,dim_rating_break,employeeID
"1","8.0","12.0","2.5","150","0"
"2","7.19","12.0","2.5","150","85"
"3","8.0","10.71","2.5","150","178"
"4","8.0","12.0","2.35","150","103"
"5","8.0","12.0","2.5","344","184"
"6","5.81","11.24","2.5","150","173"
"7","7.6","12.0","2.36","150","39"
"8","6.39","12.0","2.5","304","165"
"9","8.0","11.71","1.97","150","144"
"10","8.0","11.23","2.5","247","81"
"11","8.0","12.0","2.21","342","168"
"12","6.1","11.61","2.02","150","69"
"13","5.61","11.72","2.5","251","74"
"14","6.11","12.0","1.77","385","40"
"15","8.0","10.89","1.77","353","57"
"16","6.69","11.87","1.77","339","57"
"17","6.52","12.0","2.5","150","9"
"18","8.0","11.37","2.5","150","76"
"19","8.0","12.0","2.37","150","66"
"20","8.0","12.0","2.5","272","92"
"21","6.19","11.03","2.5","150","185"
"22","7.18","12.0","2.05","150","70"
"23","7.21","12.0","2.5","213","106"
"24","8.0","10.96","1.83","150","125"
"25","8.0","10.81","2.5","219","48"
"26","8.0","12.0","2.03","300","175"
"27","6.78","11.26","1.97","150","108"
"28","7.08","11.47","2.5","365","21"
"29","7.77","12.0","2.19","374","21"
"30","8.0","11.19","1.77","327","32"
"31","7.76","11.56","1.94","302","166"
"32","6.85","12.0","2.5","150","143"
"33","8.0","10.82","2.5","150","109"
"34","8.0","12.0","2.08","150","44"
"35","8.0","12.0","2.5","324","26"
"36","6.14","11.09","2.5","150","117"
"37","7.71","12.0","2.36","150","76"
"38","6.67","12.0","2.5","302","142"
"39","8.0","10.58","2.04","150","190"
"40","8.0","10.76","2.5","293","191"
"41","8.0","12.0","2.08","287","57"
"42","5.57","10.8","2.23","150","96"
"43","6.2","10.71","2.5","332","4"
"44","5.89","12.0","2.24","333","22"
"45","8.0","11.0","2.34","378","93"
"46","5.54","11.69","2.29","239","10"
"47","6.83","12.0","2.5","150","91"
"48","8.0","11.88","2.5","150","15"
"49","8.0","12.0","2.19","150","52"
"50","8.0","12.0","2.5","300","118"
"51","5.56","11.14","2.5","150","78"
"52","7.42","12.0","1.95","150","45"
"53","7.87","12.0","2.5","376","182"
"54","8.0","11.52","1.93","150","101"
"55","8.0","10.53","2.5","325","138"
"56","8.0","12.0","1.86","252","14"
"57","7.28","10.51","2.07","150","168"
"58","5.12","10.78","2.5","324","29"
"59","7.45","12.0","2.39","243","100"
"60","8.0","10.81","2.04","251","97"
"61","5.66","11.08","2.28","242","200"
"62","7.05","12.0","2.5","150","53"
"63","8.0","11.68","2.5","150","7"
"64","8.0","12.0","1.86","150","33"
"65","8.0","12.0","2.5","227","15"
"66","6.78","10.53","2.5","150","55"
"67","6.32","12.0","2.29","150","28"
"68","6.35","12.0","2.5","298","147"
"69","8.0","10.55","1.95","150","103"
"70","8.0","11.11","2.5","318","98"
"71","8.0","12.0","1.93","239","179"
"72","7.8","11.64","2.16","150","160"
"73","6.77","10.75","2.5","238","131"
"74","6.95","12.0","2.32","206","182"
"75","8.0","11.79","2.39","364","45"
"76","6.85","10.89","2.2","265","184"
"77","7.79","12.0","2.5","150","167"
"78","8.0","11.8","2.5","150","97"
"79","8.0","12.0","2.03","150","195"
"80","8.0","12.0","2.5","313","121"
"81","6.8","11.58","2.5","150","175"
"82","5.32","12.0","1.9","150","158"
"83","5.58","12.0","2.5","225","36"
"84","8.0","11.79","1.98","150","70"
"85","8.0","11.53","2.5","364","195"
"86","8.0","12.0","2.3","331","151"
"87","5.45","10.91","1.81","150","84"
"88","7.42","10.96","2.5","399","178"
"89","7.74","12.0","2.18","234","94"
"90","8.0","11.19","2.2","300","168"
"91","6.2","11.72","2.09","241","143"
"92","7.88","12.0","2.5","150","77"
"93","8.0","11.3","2.5","150","99"
"94","8.0","12.0","2.24","150","50"
"95","8.0","12.0","2.5","246","189"
"96","5.93","10.59","2.5","150","59"
"97","6.88","12.0","2.28","150","98"
"98","6.62","12.0","2.5","374","137"
"99","8.0","11.67","2.07","150","165"
"100","8.0","11.52","2.5","298","167"
"101","8.0","12.0","2.16","304","71"
"102","5.24","11.74","2.36","150","92"
"103","7.26","10.73","2.5","306","86"
"104","6.48","12.0","2.15","362","23"
"105","8.0","11.08","2.09","317","135"
"106","5.83","10.7","1.85","330","152"
"107","5.91","12.0","2.5","150","81"
"108","8.0","11.66","2.5","150","200"
"109","8.0","12.0","2.08","150","48"
"110","8.0","12.0","2.5","262","104"
"111","5.26","11.29","2.5","150","181"
"112","7.5","12.0","1.92","150","30"
"113","5.17","12.0","2.5","309","177"
"114","8.0","10.73","2.1","150","173"
"115","8.0","11.33","2.5","279","10"
"116","8.0","12.0","2.24","278","26"
"117","7.67","10.66","2.34","150","153"
"118","5.94","10.52","2.5","358","55"
"119","6.12","12.0","2.26","336","190"
"120","8.0","10.54","2.35","299","90"
"121","5.02","11.5","2.37","266","173"
"122","6.4","12.0","2.5","150","182"
"123","8.0","11.0","2.5","150","17"
"124","8.0","12.0","1.82","150","27"
"125","8.0","12.0","2.5","347","91"
"126","7.58","11.87","2.5","150","163"
"127","6.74","12.0","2.17","150","159"
"128","6.55","12.0","2.5","281","50"
"129","8.0","10.56","2.39","150","55"
"130","8.0","11.04","2.5","328","70"
"131","8.0","12.0","1.8","358","31"
"132","6.66","11.28","2.37","150","100"
"133","7.05","11.57","2.5","218","187"
"134","7.06","12.0","1.77","376","135"
"135","8.0","11.31","2.14","331","56"
"136","7.25","11.82","2.35","360","78"
"137","6.48","12.0","2.5","150","20"
"138","8.0","11.02","2.5","150","88"
"139","8.0","12.0","2.31","150","164"
"140","8.0","12.0","2.5","400","154"
"141","5.25","10.92","2.5","150","26"
"142","7.42","12.0","2.26","150","43"
"143","5.11","12.0","2.5","211","87"
"144","8.0","11.64","2.0","150","111"
"145","8.0","11.15","2.5","243","149"
"146","8.0","12.0","1.95","338","71"
"147","6.37","11.39","2.37","150","181"
"148","5.88","11.15","2.5","347","143"
"149","7.41","12.0","1.93","281","2"
"150","8.0","10.62","2.18","268","158"
"151","5.89","10.61","2.1","266","4"
"152","5.64","12.0","2.5","150","95"
"153","8.0","10.95","2.5","150","79"
"154","8.0","12.0","2.15","150","113"
"155","8.0","12.0","2.5","283","190"
"156","7.62","10.74","2.5","150","28"
"157","7.88","12.0","2.27","150","135"
"158","7.47","12.0","2.5","265","34"
"159","8.0","11.21","2.13","150","185"
"160","8.0","11.29","2.5","222","110"
"161","8.0","12.0","1.96","314","39"
"162","7.46","10.55","2.29","150","8"
"163","7.87","10.59","2.5","251","118"
"164","5.35","12.0","1.95","219","25"
"165","8.0","10.93","1.79","339","123"
"166","6.64","11.11","2.0","203","89"
"167","5.39","12.0","2.5","150","51"
"168","8.0","11.66","2.5","150","172"
"169","8.0","12.0","2.31","150","105"
"170","8.0","12.0","2.5","250","33"
"171","5.56","11.55","2.5","150","15"
"172","7.58","12.0","2.3","150","90"
"173","5.26","12.0","2.5","393","101"
"174","8.0","11.37","2.0","150","21"
"175","8.0","10.81","2.5","378","158"
"176","8.0","12.0","1.86","236","5"
"177","7.66","11.67","2.24","150","71"
"178","6.08","10.91","2.5","396","146"
"179","5.87","12.0","2.31","301","28"
"180","8.0","11.12","2.1","388","82"
"181","7.21","10.63","2.33","394","180"
"182","5.12","12.0","2.5","150","23"
"183","8.0","11.85","2.5","150","31"
"184","8.0","12.0","2.11","150","100"
"185","8.0","12.0","2.5","235","115"
"186","5.84","10.69","2.5","150","148"
"187","6.91","12.0","2.07","150","165"
"188","7.84","12.0","2.5","339","12"
"189","8.0","10.62","2.21","150","143"
"190","8.0","11.57","2.5","277","27"
"191","8.0","12.0","2.04","259","104"
"192","7.86","10.51","1.76","150","22"
"193","5.08","10.81","2.5","220","139"
"194","5.14","12.0","1.99","240","107"
"195","8.0","10.51","2.34","207","7"
"196","6.1","11.27","2.17","334","63"
"197","7.71","12.0","2.5","150","78"
"198","8.0","11.88","2.5","150","72"
"199","8.0","12.0","2.2","150","67"
"200","8.0","12.0","2.5","380","146"
"201","7.64","11.71","2.5","150","183"
"202","7.08","12.0","1.75","150","173"
"203","6.23","12.0","2.5","318","165"
"204","8.0","11.3","1.84","150","12"
"205","8.0","10.71","2.5","233","43"
"206","8.0","12.0","2.31","369","24"
"207","6.28","10.78","2.27","150","69"
"208","5.18","11.01","2.5","307","80"
"209","6.28","12.0","1.9","240","90"
"210","8.0","10.61","1.88","290","200"
"211","6.62","10.68","2.27","252","34"
"212","7.21","12.0","2.5","150","3"
"213","8.0","10.74","2.5","150","120"
"214","8.0","12.0","2.08","150","36"
"215","8.0","12.0","2.5","312","140"
"216","7.27","11.03","2.5","150","45"
"217","7.69","12.0","2.07","150","86"
"218","7.83","12.0","2.5","275","77"
"219","8.0","11.71","2.03","150","119"
"220","8.0","10.99","2.5","254","170"
"221","8.0","12.0","2.07","200","63"
"222","6.26","11.34","1.92","150","77"
"223","6.61","10.72","2.5","287","87"
"224","5.73","12.0","2.31","333","110"
"225","8.0","11.48","1.77","327","89"
"226","7.18","11.37","1.98","394","32"
"227","6.97","12.0","2.5","150","98"
"228","8.0","11.75","2.5","150","81"
"229","8.0","12.0","2.05","150","166"
"230","8.0","12.0","2.5","208","127"
"231","6.46","10.65","2.5","150","180"
"232","7.37","12.0","2.06","150","4"
"233","6.81","12.0","2.5","277","122"
"234","8.0","10.92","2.21","150","8"
"235","8.0","11.43","2.5","241","107"
"236","8.0","12.0","2.34","279","1"
"237","7.46","10.85","1.87","150","8"
"238","5.2","11.11","2.5","351","73"
"239","6.07","12.0","2.15","285","137"
"240","8.0","11.43","2.29","297","15"
"241","5.64","11.26","2.18","206","178"
"242","6.61","12.0","2.5","150","38"
"243","8.0","11.43","2.5","150","113"
"244","8.0","12.0","1.76","150","117"
"245","8.0","12.0","2.5","212","28"
"246","5.93","10.77","2.5","150","196"
"247","5.54","12.0","1.83","150","188"
"248","5.59","12.0","2.5","291","194"
"249","8.0","11.08","2.15","150","17"
"250","8.0","11.08","2.5","255","14"
"251","8.0","12.0","1.77","335","195"
"252","5.01","11.8","1.91","150","7"
"253","5.64","11.82","2.5","315","83"
"254","5.82","12.0","1.85","338","33"
"255","8.0","10.69","2.09","249","33"
"256","7.02","10.89","1.85","321","5"
"257","5.0","12.0","2.5","150","193"
"258","8.0","11.61","2.5","150","68"
"259","8.0","12.0","2.2","150","101"
"260","8.0","12.0","2.5","288","188"
"261","5.74","11.74","2.5","150","87"
"262","5.08","12.0","1.98","150","4"
"263","5.88","12.0","2.5","318","60"
"264","8.0","11.67","2.07","150","85"
"265","8.0","10.6","2.5","346","87"
"266","8.0","12.0","1.86","296","158"
"267","6.85","11.53","1.86","150","160"
"268","6.32","11.01","2.5","321","17"
"269","6.56","12.0","2.05","276","62"
"270","8.0","10.9","2.34","298","59"
"271","7.85","11.7","2.36","314","159"
"272","6.9","12.0","2.5","150","110"
"273","8.0","10.82","2.5","150","110"
"274","8.0","12.0","1.99","150","55"
"275","8.0","12.0","2.5","310","56"
"276","5.15","11.67","2.5","150","162"
"277","7.4","12.0","2.03","150","95"
"278","7.51","12.0","2.5","291","192"
"279","8.0","10.91","2.21","150","68"
"280","8.0","11.11","2.5","266","19"
"281","8.0","12.0","1.92","349","128"
"282","6.81","11.23","1.9","150","193"
"283","5.42","10.94","2.5","265","46"
"284","5.49","12.0","2.31","247","87"
"285","8.0","10.89","2.03","373","178"
"286","5.81","11.38","2.4","287","134"
"287","5.79","12.0","2.5","150","133"
"288","8.0","11.88","2.5","150","36"
"289","8.0","12.0","1.76","150","120"
"290","8.0","12.0","2.5","372","85"
"291","6.28","11.1","2.5","150","93"
"292","5.9","12.0","2.28","150","36"
"293","5.0","12.0","2.5","387","26"
"294","8.0","11.35","2.06","150","100"
"295","8.0","11.77","2.5","204","167"
"296","8.0","12.0","1.98","265","180"
"297","5.31","11.22","2.16","150","176"
"298","7.49","11.14","2.5","380","3"
"299","6.27","12.0","1.98","212","102"
"300","8.0","11.17","1.9","332","123"
"301","7.56","10.57","2.19","329","155"
"302","5.03","12.0","2.5","150","30"
"303","8.0","11.02","2.5","150","27"
"304","8.0","12.0","2.2","150","6"
"305","8.0","12.0","2.5","378","87"
"306","6.96","10.78","2.5","150","182"
"307","5.57","12.0","2.1","150","45"
"308","7.07","12.0","2.5","234","50"
"309","8.0","10.89","2.06","150","19"
"310","8.0","11.47","2.5","236","122"
"311","8.0","12.0","1.95","257","147"
"312","5.88","11.23","1.89","150","46"
"313","7.78","11.72","2.5","246","165"
"314","5.22","12.0","2.16","392","148"
"315","8.0","11.81","2.22","322","17"
"316","5.35","10.83","2.05","283","125"
"317","5.96","12.0","2.5","150","65"
"318","8.0","11.87","2.5","150","47"
"319","8.0","12.0","1.85","150","32"
"320","8.0","12.0","2.5","370","137"
"321","5.66","10.52","2.5","150","117"
"322","7.19","12.0","2.04","150","26"
"323","7.81","12.0","2.5","387","73"
"324","8.0","11.12","1.91","150","124"
"325","8.0","10.9","2.5","357","127"
"326","8.0","12.0","2.28","286","145"
"327","6.19","10.97","1.99","150","197"
"328","6.07","11.52","2.5","352","132"
"329","6.52","12.0","2.38","323","127"
"330","8.0","11.67","2.22","218","145"
"331","5.17","10.82","1.84","250","64"
"332","7.64","12.0","2.5","150","42"
"333","8.0","11.54","2.5","150","191"
"334","8.0","12.0","2.39","150","105"
"335","8.0","12.0","2.5","394","166"
"336","6.29","11.7","2.5","150","136"
"337","6.27","12.0","2.29","150","95"
"338","5.83","12.0","2.5","267","53"
"339","8.0","11.69","2.23","150","194"
"340","8.0","10.77","2.5","274","105"
"341","8.0","12.0","2.34","246","140"
"342","6.04","11.6","2.36","150","146"
"343","6.8","11.25","2.5","250","57"
"344","7.33","12.0","2.19","231","34"
"345","8.0","10.74","2.37","337","89"
"346","5.25","11.49","2.13","322","38"
"347","6.61","12.0","2.5","150","30"
"348","8.0","10.54","2.5","150","38"
"349","8.0","12.0","2.01","150","97"
"350","8.0","12.0","2.5","235","167"
"351","6.11","10.8","2.5","150","82"
"352","6.48","12.0","2.22","150","108"
"353","6.1","12.0","2.5","207","183"
"354","8.0","11.81","2.15","150","124"
"355","8.0","11.78","2.5","320","148"
"356","8.0","12.0","1.91","327","125"
"357","5.7","11.62","2.27","150","107"
"358","7.13","11.73","2.5","200","161"
"359","7.24","12.0","2.2","261","51"
"360","8.0","10.68","2.12","269","172"
"361","5.62","11.36","1.87","325","26"
"362","7.8","12.0","2.5","150","195"
"363","8.0","10.56","2.5","150","99"
"364","8.0","12.0","2.01","150","98"
"365","8.0","12.0","2.5","351","174"
"366","5.79","10.61","2.5","150","72"
"367","5.48","12.0","1.82","150","83"
"368","7.42","12.0","2.5","256","121"
"369","8.0","10.75","1.92","150","149"
"370","8.0","11.18","2.5","388","18"
"371","8.0","12.0","2.23","262","159"
"372","6.31","11.19","2.31","150","75"
"373","6.18","10.7","2.5","289","44"
"374","7.74","12.0","2.13","270","185"
"375","8.0","11.25","1.85","373","112"
"376","5.92","11.21","2.03","346","187"
"377","7.87","12.0","2.5","150","32"
"378","8.0","11.08","2.5","150","7"
"379","8.0","12.0","2.33","150","147"
"380","8.0","12.0","2.5","244","12"
"381","5.42","11.27","2.5","150","69"
"382","7.57","12.0","1.87","150","35"
"383","7.41","12.0","2.5","393","119"
"384","8.0","10.78","2.23","150","181"
"385","8.0","10.92","2.5","287","168"
"386","8.0","12.0","2.39","352","138"
"387","6.97","10.72","2.32","150","194"
"388","7.01","11.87","2.5","362","187"
"389","5.25","12.0","2.2","361","193"
"390","8.0","10.55","2.33","301","96"
"391","5.43","10.97","2.26","270","39"
"392","7.2","12.0","2.5","150","33"
"393","8.0","10.54","2.5","150","112"
"394","8.0","12.0","1.95","150","35"
"395","8.0","12.0","2.5","380","164"
"396","5.08","10.81","2.5","150","181"
"397","5.95","12.0","2.34","150","34"
"398","5.55","12.0","2.5","205","137"
"399","8.0","10.89","2.3","150","108"
"400","8.0","11.11","2.5","297","56"
